,predicted_mean
2022-12-08 00:00:00,52824.12785358062
2022-12-08 00:15:00,53171.93431701854
2022-12-08 00:30:00,53351.30352775326
2022-12-08 00:45:00,53357.81540417812
2022-12-08 01:00:00,53211.45278486666
2022-12-08 01:15:00,52949.71301245078
2022-12-08 01:30:00,52619.196367377575
2022-12-08 01:45:00,52267.09153311109
2022-12-08 02:00:00,51933.89503102518
2022-12-08 02:15:00,51648.417453699876
2022-12-08 02:30:00,51425.694602051175
2022-12-08 02:45:00,51267.908271727734
2022-12-08 03:00:00,51167.91178104416
2022-12-08 03:15:00,51114.52932527134
2022-12-08 03:30:00,51098.52118630031
2022-12-08 03:45:00,51118.019566058574
2022-12-08 04:00:00,51182.35277174804
2022-12-08 04:15:00,51313.46745716561
2022-12-08 04:30:00,51544.58045937409
2022-12-08 04:45:00,51916.174305615874
2022-12-08 05:00:00,52469.91551664006
2022-12-08 05:15:00,53241.44747001097
2022-12-08 05:30:00,54253.22982562035
2022-12-08 05:45:00,55508.628612903674
2022-12-08 06:00:00,56988.299019784776
2022-12-08 06:15:00,58649.571264511535
2022-12-08 06:30:00,60429.09990053634
2022-12-08 06:45:00,62248.53837010496
2022-12-08 07:00:00,64022.53119638804
2022-12-08 07:15:00,65667.9491686369
2022-12-08 07:30:00,67113.08580138512
2022-12-08 07:45:00,68305.51916887134
2022-12-08 08:00:00,69217.52511780558
2022-12-08 08:15:00,69848.27879292241
2022-12-08 08:30:00,70222.54825639968
2022-12-08 08:45:00,70386.09577113176
2022-12-08 09:00:00,70398.48117124147
2022-12-08 09:15:00,70324.33488948534
2022-12-08 09:30:00,70224.37919640073
2022-12-08 09:45:00,70147.49357501592
2022-12-08 10:00:00,70124.94226313627
2022-12-08 10:15:00,70167.53721016445
2022-12-08 10:30:00,70266.05195937945
2022-12-08 10:45:00,70394.70240820633
2022-12-08 11:00:00,70517.0462922898
2022-12-08 11:15:00,70593.29601877954
2022-12-08 11:30:00,70587.84366237157
2022-12-08 11:45:00,70475.79169888355
2022-12-08 12:00:00,70247.46768633167
2022-12-08 12:15:00,69910.24518648474
2022-12-08 12:30:00,69487.4413630598
2022-12-08 12:45:00,69014.5422103726
2022-12-08 13:00:00,68533.44249930893
2022-12-08 13:15:00,68085.70949228166
2022-12-08 13:30:00,67706.03546871555
2022-12-08 13:45:00,67417.00852632347
2022-12-08 14:00:00,67226.1087849924
2022-12-08 14:15:00,67125.4626670036
2022-12-08 14:30:00,67094.420623778
2022-12-08 14:45:00,67104.53828496684
2022-12-08 15:00:00,67126.11614807342
2022-12-08 15:15:00,67135.15875343524
2022-12-08 15:30:00,67119.5013092108
2022-12-08 15:45:00,67082.94258627661
2022-12-08 16:00:00,67046.5083754659
2022-12-08 16:15:00,67046.40971342893
2022-12-08 16:30:00,67128.78901914475
2022-12-08 16:45:00,67341.88427874843
2022-12-08 17:00:00,67726.70221063335
2022-12-08 17:15:00,68307.60131382885
2022-12-08 17:30:00,69084.29152998676
2022-12-08 17:45:00,70026.63550366511
2022-12-08 18:00:00,71073.29774045799
2022-12-08 18:15:00,72134.77610024084
2022-12-08 18:30:00,73100.73595572138
2022-12-08 18:45:00,73850.93895479421
2022-12-08 19:00:00,74268.50779274935
2022-12-08 19:15:00,74253.87840976332
2022-12-08 19:30:00,73737.62239330559
2022-12-08 19:45:00,72690.40472325734
2022-12-08 20:00:00,71128.66903031625
2022-12-08 20:15:00,69115.17245149585
2022-12-08 20:30:00,66754.15340945646
2022-12-08 20:45:00,64181.617045634135
2022-12-08 21:00:00,61551.86689374714
2022-12-08 21:15:00,59021.907549980184
2022-12-08 21:30:00,56735.62205478965
2022-12-08 21:45:00,54809.650609622324
2022-12-08 22:00:00,53322.66155768948
2022-12-08 22:15:00,52309.24530620861
2022-12-08 22:30:00,51759.042677899386
2022-12-08 22:45:00,51621.02864083174
2022-12-08 23:00:00,51812.20727391295
2022-12-08 23:15:00,52229.426155338515
2022-12-08 23:30:00,52762.662044459794
2022-12-08 23:45:00,53308.01017688264
